heuristic,n,run,success,time,expanded,generated,max_frontier,solution_length,aborted
min_moves,3,1,True,0.8706206999995629,6983,9960,892,31,False
min_moves,3,2,True,0.9204824999978882,6983,9960,892,31,False
min_moves,3,3,True,0.9250490000013087,6983,9960,892,31,False
min_moves,3,4,True,0.93409519999841,6983,9960,892,31,False
min_moves,3,5,True,0.9457220000003872,6983,9960,892,31,False
min_moves,5,1,False,120.00071019999814,296882,419396,2902,,True
min_moves,5,2,False,120.00303149999672,295983,418096,2902,,True
min_moves,5,3,False,120.00093229999766,215667,304142,2902,,True
min_moves,5,4,False,120.00016229999892,248725,351188,2902,,True
min_moves,5,5,False,120.00071030000254,258093,364440,2902,,True
min_moves,7,1,False,667.3457142000007,79261,115267,5284,,True
min_moves,7,2,False,120.00023050000163,143877,205697,5284,,True
min_moves,7,3,False,120.00240870000198,149341,213460,5284,,True
min_moves,7,4,False,120.00047429999904,152766,218134,5284,,True
min_moves,7,5,False,120.00130780000109,151567,216555,5284,,True
manhattan,3,1,False,113.83547149999868,500001,664986,1805,,True
manhattan,3,2,False,113.59933960000126,500001,664986,1805,,True
manhattan,3,3,False,120.00001380000322,469912,626257,1805,,True
manhattan,3,4,False,118.40838889999941,500001,664986,1805,,True
manhattan,3,5,False,113.72483239999929,500001,664986,1805,,True
manhattan,5,1,False,94.80848920000062,500001,675461,1298,,True
manhattan,5,2,False,86.12107110000215,500001,675461,1298,,True
manhattan,5,3,False,84.00993099999687,500001,675461,1298,,True
manhattan,5,4,False,80.63167769999927,500001,675461,1298,,True
manhattan,5,5,False,80.21803830000135,500001,675461,1298,,True
manhattan,7,1,False,120.00000469999941,164059,253362,3581,,True
manhattan,7,2,False,120.00093030000062,171650,264254,3700,,True
manhattan,7,3,False,120.00063829999999,169950,262077,3679,,True
manhattan,7,4,False,120.00129050000032,156891,241828,2944,,True
manhattan,7,5,False,120.00187749999895,170642,262984,3700,,True
combo,3,1,True,7.073482299998432,143387,155964,232,31,False
combo,3,2,True,7.138196100000641,143387,155964,232,31,False
combo,3,3,True,7.1296454000003,143387,155964,232,31,False
combo,3,4,True,7.148050600000715,143387,155964,232,31,False
combo,3,5,True,7.109188800000993,143387,155964,232,31,False
combo,5,1,False,54.60034570000062,500001,545798,383,,True
combo,5,2,False,57.361687199998414,500001,545798,383,,True
combo,5,3,False,50.188976899997215,500001,545798,383,,True
combo,5,4,False,50.17449150000175,500001,545798,383,,True
combo,5,5,False,50.0309242000003,500001,545798,383,,True
combo,7,1,False,95.00451579999935,500001,560182,672,,True
combo,7,2,False,96.0791941000025,500001,560182,672,,True
combo,7,3,False,102.13858360000086,500001,560182,672,,True
combo,7,4,False,117.87405399999989,500001,560182,672,,True
combo,7,5,False,244.23919209999804,86489,98040,664,,True
